Тривалість тривоги,Регіон атаки,Час до наступної тривоги
43,odesa,633
111,above_odesa,22
122,odesa,698
72,odesa,721
115,odesa,136
147,above_odesa,48
41,behind_odesa,244
105,above_odesa,41
115,odesa,245
142,above_odesa,287
112,north,192
246,north,192
168,odesa,379
93,above_odesa,3
14,behind_odesa,243
125,odesa,42
104,odesa,147
47,odesa,45
132,above_odesa,99
40,behind_odesa,191
61,odesa,286
37,odesa,192
101,odesa,46
90,above_odesa,196
94,behind_odesa,142
84,odesa,192
137,odesa,46
145,odesa,50
108,odesa,65
43,odesa,75
50,odesa,50
233,south,20
37,odesa,410
174,south,193
152,behind_odesa,213
44,behind_odesa,168
90,odesa,3
40,odesa,93
69,south,3
92,south,332
175,south,91
20,behind_odesa,435
223,south,49
216,south,93
162,south,47
172,south,46
238,behind_odesa,241
274,south,200
106,odesa,36
75,south,2
14,behind_odesa,2
34,odesa,47
146,behind_odesa,284
82,odesa,51
118,south,91
266,odesa,87
64,south,6
244,above_odesa,49
196,odesa,188
9,south,3
226,odesa,51
212,behind_odesa,79
36,above_odesa,108
160,odesa,97
170,south,44
36,north,202
83,odesa,285
48,odesa,524
124,south,141
120,odesa,219
215,odesa,21
47,behind_odesa,1
59,odesa,251
142,above_odesa,40
80,above_odesa,48
106,odesa,137
82,north,52
81,north,328
64,north,48
108,behind_odesa,96
67,behind_odesa,148
98,north,43
129,odesa,56
104,south,182
165,above_odesa,46
166,odesa,95
428,south,37
49,south,13
198,above_odesa,99
131,odesa,135
197,odesa,102
94,north,6
41,above_odesa,34
108,above_odesa,102
118,odesa,42
108,above_odesa,58
77,odesa,93
189,odesa,15
178,odesa,29
233,north,44
45,south,1
227,behind_odesa,41
172,odesa,5
152,odesa,6
203,odesa,24
154,odesa,261
222,odesa,48
128,odesa,16
119,odesa,421
56,odesa,10
24,odesa,7
99,odesa,24
70,north,93
116,north,237
82,odesa,5
49,odesa,138
35,odesa,48
32,north,2
114,north,50
134,north,50
126,odesa,138
196,north,199
139,north,9
242,above_odesa,37
59,odesa,91
292,odesa,14
86,south,36
158,odesa,572
164,behind_odesa,47
103,odesa,142
118,north,51
103,odesa,150
66,odesa,141
194,odesa,45
152,odesa,5
79,odesa,85
12,behind_odesa,5
152,behind_odesa,96
160,odesa,55
94,odesa,38
97,north,138
78,north,103
192,odesa,40
72,north,89
83,odesa,110
450,odesa,90
46,odesa,2
83,above_odesa,3
164,odesa,48
84,odesa,53
88,above_odesa,96
32,odesa,94
74,odesa,40
107,odesa,248
61,behind_odesa,67
30,behind_odesa,63
31,odesa,5
48,behind_odesa,51
106,odesa,35
34,odesa,12
111,odesa,6
35,behind_odesa,36
455,odesa,54
116,north,122
34,behind_odesa,61
52,north,69
36,odesa,33
155,odesa,43
68,north,3
76,odesa,6
94,behind_odesa,49
56,odesa,5
33,odesa,57
39,odesa,23
62,above_odesa,49
94,odesa,11
29,odesa,109
